Year,1. Finance payment,2. Finance: Optima Cumulative Savings,3. Finance: Dynamic Forecast Savings,1. Purchase: Optima Cumulative Savings,2. Purchase: Dynamic Forecast Savings,MPAN,,,,,,,,
1," 12,045.03 "," 3,479 "," 3,479 ","-48,626 ","-48,626 ",1300060083293,,,,,,,,
2," 12,045.03 ","-9,142 ","-3,179 ","-48,952 ","-42,989 ",1300060083293,,,,,,,,
3," 12,045.03 ","-21,762 ","-9,837 ","-49,277 ","-37,352 ",1300060083293,,,,,,,,
4," 12,045.03 ","-34,383 ","-16,496 ","-49,603 ","-31,716 ",1300060083293,,,,,,,,
5," 12,045.03 ","-47,004 ","-23,154 ","-49,929 ","-26,079 ",1300060083293,,,,,,,,
6," 12,045.03 ","-59,625 ","-29,812 ","-50,255 ","-20,442 ",1300060083293,,,,,,,,
7," 12,045.03 ","-72,246 ","-36,471 ","-50,581 ","-14,806 ",1300060083293,,,,,,,,
8, -   ,"-72,822 ","-31,084 ","-50,906 ","-9,169 ",1300060083293,,,,,,,,
9, -   ,"-73,397 ","-25,697 ","-51,232 ","-3,532 ",1300060083293,,,,,,,,
10, -   ,"-73,973 ","-20,311 ","-51,558 "," 2,104 ",1300060083293,,,,,,,,
11, -   ,"-74,549 ","-14,924 ","-51,884 "," 7,741 ",1300060083293,,,,,,,,
12, -   ,"-75,125 ","-9,537 ","-52,210 "," 13,378 ",1300060083293,,,,,,,,
13, -   ,"-75,701 ","-4,151 ","-52,535 "," 19,015 ",1300060083293,,,,,,,,
14, -   ,"-76,276 "," 1,236 ","-52,861 "," 24,651 ",1300060083293,,,,,,,,
15, -   ,"-76,852 "," 6,623 ","-53,187 "," 30,288 ",1300060083293,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
